millis,DID,data_hex,u16be
11862,0x1051,00 00,0
11865,0x8004,00 01,1
11869,0x8021,00 80,128
11874,0x8031,00 80,128
14661,0x0,00 77,119
14673,0x1,00 04,4
14676,0x2,02 52,594
14681,0x3,03 F5,1013
14686,0x4,02 F1,753
14692,0x5,C8 32,51250
14697,0x6,01 EF,495
14702,0x7,00 76,118
14707,0x8,02 DA,730
14712,0x9,00 33,51
14716,0x10,02 D7,727
14721,0x11,00 34,52
14726,0x12,03 FF,1023
14737,0x28,00 7A,122
14742,0x29,00 00,0
14747,0x30,01 20,288
14758,0x31,00 00,0
14764,0x34,01 2B,299
14770,0x35,00 04,4
14775,0x38,00 66,102
14780,0x39,00 00,0
14785,0x41,00 00,0
14790,0x42,00 FF,255
14795,0x44,00 00,0
14799,0x60,00 00,0
14804,0x61,00 FF,255
14809,0x64,00 00,0
14815,0x70,00 1A,26
14820,0x71,00 04,4
14825,0x72,01 F1,497
14830,0x73,00 76,118
14835,0x76,00 CD,205
14848,0x77,00 00,0
14853,0x100,00 00,0
14858,0x102,80 00,32768
14863,0x107,00 00,0
14868,0x108,1F 20,7968
14873,0x110,00 00,0
14878,0x120,00 80,128
14882,0x122,00 80,128
14887,0x130,00 00,0
14893,0x132,00 00,0
14900,0x140,80 84,32900
14905,0x151,80 C2,32962
14910,0x166,80 C2,32962
14915,0x168,81 BB,33211
14919,0x471,00 FF,255
14924,0x601,00 FF,255
14939,0x608,01 20,288
14944,0x610,00 DD,221
14949,0x611,01 64,356
14954,0x612,01 EA,490
14959,0x613,02 70,624
14963,0x614,02 F7,759
14968,0x615,03 7D,893
14974,0x620,79 9A,31130
14979,0x621,79 9A,31130
14984,0x622,79 9A,31130
14989,0x623,79 9A,31130
14994,0x624,79 9A,31130
14999,0x625,79 9A,31130
15003,0x626,79 9A,31130
15008,0x627,79 9A,31130
15015,0x628,79 9A,31130
15030,0x629,75 C3,30147
15035,0x640,AC CD,44237
15040,0x641,59 40,22848
15044,0x642,00 02,2
15049,0x643,00 00,0
15055,0x801,00 1A,26
15060,0x802,93 56,37718
15065,0x803,00 5E,94
15070,0x1000,00 00,0
15075,0x1001,00 00,0
15080,0x1002,00 00,0
15084,0x1004,00 00,0
15089,0x1005,00 00,0
15094,0x1007,00 00,0
15100,0x1009,00 00,0
15105,0x1011,00 00,0
15120,0x1013,00 00,0
15124,0x1014,00 00,0
15128,0x1020,00 00,0
15133,0x1028,00 00,0
15139,0x1030,00 00,0
15144,0x1033,00 00,0
15152,0x1040,00 00,0
15157,0x1041,00 00,0
15162,0x1042,00 00,0
15166,0x1043,00 00,0
15171,0x1044,00 00,0
15177,0x1045,00 00,0
15182,0x1046,00 00,0
15187,0x1047,00 00,0
15192,0x1048,00 00,0
15197,0x1049,00 00,0
15211,0x1050,00 00,0
15216,0x1051,00 00,0
15222,0x8004,00 01,1
15227,0x8021,00 80,128
15233,0x8031,00 80,128
18017,0x0,00 77,119
18033,0x1,00 04,4
18037,0x2,02 52,594
18042,0x3,03 F5,1013
18048,0x4,02 F1,753
18051,0x5,C8 32,51250
18056,0x6,01 EF,495
18061,0x7,00 76,118
18068,0x8,02 D9,729
18073,0x9,00 33,51
18078,0x10,02 D6,726
18083,0x11,00 34,52
18088,0x12,03 FF,1023
18097,0x28,00 7A,122
18102,0x29,00 00,0
18108,0x30,01 20,288
18125,0x31,00 00,0
18130,0x34,01 2B,299
18134,0x35,00 04,4
18139,0x38,00 66,102
18144,0x39,00 00,0
18150,0x41,00 00,0
18155,0x42,00 FF,255
18160,0x44,00 00,0
18165,0x60,00 00,0
18170,0x61,00 FF,255
18174,0x64,00 00,0
18179,0x70,00 1A,26
18184,0x71,00 04,4
18190,0x72,01 F1,497
18195,0x73,00 76,118
18200,0x76,00 CD,205
18214,0x77,00 00,0
18220,0x100,00 00,0
18224,0x102,80 00,32768
18230,0x107,00 00,0
18235,0x108,1F 1C,7964
18240,0x110,00 00,0
18245,0x120,00 80,128
18250,0x122,00 80,128
18254,0x130,00 00,0
18259,0x132,00 00,0
18264,0x140,80 84,32900
18270,0x151,80 C2,32962
18275,0x166,80 C2,32962
18280,0x168,81 BB,33211
18285,0x471,00 FF,255
18290,0x601,00 FF,255
18301,0x608,01 20,288
18307,0x610,00 DD,221
18312,0x611,01 64,356
18317,0x612,01 EA,490
18322,0x613,02 70,624
18327,0x614,02 F7,759
18332,0x615,03 7D,893
18348,0x620,79 9A,31130
18353,0x621,79 9A,31130
18358,0x622,79 9A,31130
18363,0x623,79 9A,31130
18368,0x624,79 9A,31130
18373,0x625,79 9A,31130
18377,0x626,79 9A,31130
18382,0x627,79 9A,31130
18387,0x628,79 9A,31130
18402,0x629,75 C3,30147
18407,0x640,AC CD,44237
18412,0x641,59 40,22848
18416,0x642,00 02,2
18421,0x643,00 00,0
18426,0x801,00 1A,26
18433,0x802,91 7F,37247
18438,0x803,00 5E,94
18443,0x1000,00 00,0
18448,0x1001,00 00,0
18453,0x1002,00 00,0
18457,0x1004,00 00,0
18464,0x1005,00 00,0
18468,0x1007,00 00,0
18475,0x1009,00 00,0
18479,0x1011,00 00,0
18493,0x1013,00 00,0
18498,0x1014,00 00,0
20002,0x1028,00 00,0
20007,0x1030,00 00,0
20012,0x1033,00 00,0
20018,0x1040,00 00,0
20023,0x1041,00 00,0
20028,0x1042,00 00,0
20033,0x1043,00 00,0
20038,0x1044,00 00,0
20043,0x1045,00 00,0
20047,0x1046,00 00,0
20052,0x1047,00 00,0
20058,0x1048,00 00,0
20063,0x1049,00 00,0
20077,0x1050,00 00,0
20082,0x1051,00 00,0
20086,0x8004,00 01,1
20091,0x8021,00 80,128
20099,0x8031,00 80,128
21389,0x0,00 99,153
21404,0x1,00 11,17
21409,0x2,02 52,594
21414,0x3,03 F5,1013
21420,0x4,02 F1,753
21425,0x5,C8 32,51250
21429,0x6,01 EF,495
21434,0x7,00 76,118
21440,0x8,02 D9,729
21445,0x9,00 33,51
21450,0x10,02 D6,726
21455,0x11,00 34,52
21460,0x12,03 FF,1023
21469,0x28,00 7A,122
21474,0x29,00 00,0
21480,0x30,01 20,288
21495,0x31,00 00,0
21500,0x34,01 46,326
21505,0x35,00 11,17
21509,0x38,01 CD,461
21514,0x39,00 D8,216
21519,0x41,00 00,0
21525,0x42,00 FF,255
21533,0x44,00 00,0
21537,0x60,00 00,0
21542,0x61,00 FF,255
21548,0x64,00 00,0
21552,0x70,00 3C,60
21557,0x71,00 11,17
21563,0x72,01 F1,497
21568,0x73,00 76,118
21573,0x76,03 99,921
21592,0x77,00 D8,216
21597,0x100,00 00,0
21601,0x102,80 00,32768
21607,0x107,00 00,0
21612,0x108,1F 1C,7964
21617,0x110,00 00,0
21622,0x120,00 80,128
21627,0x122,00 80,128
21632,0x130,00 00,0
21637,0x132,00 00,0
21643,0x140,80 84,32900
21648,0x151,80 C2,32962
21653,0x166,80 C2,32962
21658,0x168,81 BB,33211
21664,0x471,00 FF,255
21668,0x601,00 FF,255
21680,0x608,01 20,288
21685,0x610,00 DD,221
21690,0x611,01 64,356
21695,0x612,01 EA,490
21700,0x613,02 70,624
21705,0x614,02 F7,759
21710,0x615,03 7D,893
21714,0x620,79 9A,31130
21719,0x621,79 9A,31130
21725,0x622,79 9A,31130
21730,0x623,79 9A,31130
21735,0x624,79 9A,31130
21740,0x625,79 9A,31130
21745,0x626,79 9A,31130
21750,0x627,79 9A,31130
21754,0x628,79 9A,31130
21767,0x629,75 C3,30147
21772,0x640,AC CD,44237
21777,0x641,59 40,22848
21782,0x642,00 02,2
21788,0x643,00 00,0
21792,0x801,00 1A,26
21796,0x802,95 29,38185
21801,0x803,00 5E,94
21807,0x1000,00 00,0
21812,0x1001,00 00,0
21817,0x1002,00 00,0
21822,0x1004,00 00,0
21827,0x1005,00 00,0
21832,0x1007,00 00,0
21836,0x1009,00 00,0
21841,0x1011,00 00,0
21854,0x1013,00 00,0
21859,0x1014,00 00,0
21864,0x1020,00 00,0
21869,0x1028,00 00,0
21873,0x1030,00 00,0
21878,0x1033,00 00,0
21883,0x1040,00 00,0
21889,0x1041,00 00,0
21894,0x1042,00 00,0
21899,0x1043,00 00,0
21904,0x1044,00 00,0
21911,0x1045,00 00,0
21914,0x1046,00 00,0
21919,0x1047,00 00,0
21924,0x1048,00 00,0
21931,0x1049,00 00,0
21945,0x1050,00 00,0
21950,0x1051,00 00,0
21954,0x8004,00 01,1
21959,0x8021,00 80,128
21964,0x8031,00 80,128
23255,0x0,00 78,120
23268,0x1,00 04,4
23273,0x2,02 52,594
23278,0x3,03 F5,1013
23283,0x4,02 F1,753
23288,0x5,C8 32,51250
23293,0x6,01 EF,495
23297,0x7,00 76,118
23302,0x8,02 D9,729
23307,0x9,00 33,51
23313,0x10,02 D5,725
23318,0x11,00 34,52
23323,0x12,03 FF,1023
23334,0x28,00 7A,122
23339,0x29,00 00,0
23344,0x30,01 20,288
23358,0x31,00 00,0
23363,0x34,01 2B,299
23368,0x35,00 04,4
23373,0x38,00 66,102
23377,0x39,00 00,0
23382,0x41,00 00,0
23387,0x42,00 FF,255
23393,0x44,00 00,0
23398,0x60,00 00,0
23403,0x61,00 FF,255
23408,0x64,00 00,0
23413,0x70,00 1A,26
23418,0x71,00 04,4
23422,0x72,01 F1,497
23427,0x73,00 76,118
23433,0x76,00 CD,205
23448,0x77,00 00,0
23453,0x100,00 00,0
23458,0x102,80 00,32768
23462,0x107,00 00,0
23467,0x108,1F 1C,7964
23474,0x110,00 00,0
23479,0x120,00 80,128
23484,0x122,00 80,128
23489,0x130,00 00,0
23494,0x132,00 00,0
23499,0x140,80 84,32900
23503,0x151,80 C2,32962
23508,0x166,80 C2,32962
23514,0x168,81 BB,33211
23519,0x471,00 FF,255
23524,0x601,00 FF,255
23539,0x608,01 20,288
23543,0x610,00 DD,221
23548,0x611,01 64,356
23553,0x612,01 EA,490
23559,0x613,02 70,624
23564,0x614,02 F7,759
23569,0x615,03 7D,893
23574,0x620,79 9A,31130
23579,0x621,79 9A,31130
23583,0x622,79 9A,31130
23588,0x623,79 9A,31130
23597,0x624,79 9A,31130
23602,0x625,79 9A,31130
23607,0x626,79 9A,31130
23612,0x627,79 9A,31130
23617,0x628,79 9A,31130
23635,0x629,75 C3,30147
23641,0x640,AC CD,44237
23646,0x641,59 40,22848
23651,0x642,00 02,2
23656,0x643,00 00,0
23661,0x801,00 1A,26
23665,0x802,94 15,37909
23670,0x803,00 5E,94
23676,0x1000,00 00,0
23681,0x1001,00 00,0
23686,0x1002,00 00,0
23691,0x1004,00 00,0
23696,0x1005,00 00,0
23701,0x1007,00 00,0
23705,0x1009,00 00,0
23710,0x1011,00 00,0
23723,0x1013,00 00,0
23731,0x1014,00 00,0
23736,0x1020,00 00,0
23741,0x1028,00 00,0
23745,0x1030,00 00,0
23750,0x1033,00 00,0
23755,0x1040,00 00,0
23761,0x1041,00 00,0
23767,0x1042,00 00,0
23772,0x1043,00 00,0
23777,0x1044,00 00,0
23782,0x1045,00 00,0
23786,0x1046,00 00,0
23791,0x1047,00 00,0
23796,0x1048,00 00,0
23802,0x1049,00 00,0
23815,0x1050,00 00,0
23820,0x1051,00 00,0
23824,0x8004,00 01,1
23828,0x8021,00 80,128
23833,0x8031,00 80,128
25124,0x0,00 77,119
25136,0x1,00 04,4
25141,0x2,02 52,594
25146,0x3,03 F5,1013
25152,0x4,02 F1,753
25156,0x5,C8 32,51250
25161,0x6,01 EF,495
25166,0x7,00 76,118
25170,0x8,02 DA,730
25175,0x9,00 33,51
25181,0x10,02 D5,725
25186,0x11,00 34,52
25191,0x12,03 FF,1023
25201,0x28,00 7A,122
25206,0x29,00 00,0
25210,0x30,01 20,288
25225,0x31,00 00,0
25230,0x34,01 2B,299
25235,0x35,00 04,4
25240,0x38,00 66,102
25245,0x39,00 00,0
25249,0x41,00 00,0
25254,0x42,00 FF,255
25259,0x44,00 00,0
25265,0x60,00 00,0
25270,0x61,00 FF,255
25275,0x64,00 00,0
25280,0x70,00 1A,26
25287,0x71,00 04,4
25290,0x72,01 F1,497
25295,0x73,00 76,118
25300,0x76,00 CD,205
25315,0x77,00 00,0
25320,0x100,00 00,0
25325,0x102,80 00,32768
25329,0x107,00 00,0
25334,0x108,1F 1C,7964
25339,0x110,00 00,0
25345,0x120,00 80,128
25350,0x122,00 80,128
25355,0x130,00 00,0
25360,0x132,00 00,0
25365,0x140,80 84,32900
25370,0x151,80 C2,32962
25374,0x166,80 C2,32962
25379,0x168,81 BB,33211
25385,0x471,00 FF,255
25390,0x601,00 FF,255
25404,0x608,01 20,288
25409,0x610,00 DD,221
25413,0x611,01 64,356
25420,0x612,01 EA,490
25425,0x613,02 70,624
25431,0x614,02 F7,759
25436,0x615,03 7D,893
25441,0x620,79 9A,31130
25446,0x621,79 9A,31130
25451,0x622,79 9A,31130
25455,0x623,79 9A,31130
25460,0x624,79 9A,31130
25466,0x625,79 9A,31130
25472,0x626,79 9A,31130
25476,0x627,79 9A,31130
25481,0x628,79 9A,31130
25495,0x629,75 C3,30147
25500,0x640,AC CD,44237
25506,0x641,59 40,22848
